addressGroup,total_amount
WannaSmile,0.00001376
WannaRen,0.0000949
TeslaCrypt,0.0001
CTB-Locker,0.0001
Chimera,0.0005
7ev3n,0.00111225
Bagli,0.00175732
CryptoHost,0.002
"Black Router",0.00228513
Phoenix,0.00256772
PopCornTime,0.00278372
Git,0.0032912899999999997
LockOn,0.005
Exotic,0.00638312
Bucbi,0.00896
VevoLocker,0.01511395
NullByte,0.0172
Avaddon,0.0241
DeadBolt,0.030054599999999997
"Black Mamba",0.0399
Gula,0.042524330000000006
Decryptiomega,0.05
Kelly,0.05
VegaJamperBuran,0.05424094
File-Locker,0.07572304999999997
Qweuirtksd,0.08
Razy,0.09765461999999998
Encrpt3d,0.11071314
Cryptohitman,0.12399782
Phobos,0.18446
RanzyLocker,0.21
AlbDecryptor,0.25372235
Jigsaw,0.32
HC6HC7,0.32057903
"Black Ruby",0.36784587999999996
Cryptowall,0.43005793999999997
Predator,0.5164383100000002
DMALocker,0.6
TowerWeb,0.70730028
"Black Kingdom",0.7233499999999999
StorageCrypter,0.787942
XLocker,1
Flyper,1.1195543
Ransomnix,1.2495953100000001
AES-NI,1.5328074800000002
EDA2,1.61026355
"Avos Locker",1.80469365
Ecovector,2
"Comrade Circle",2.03320001
Makop,3.3125166900000003
AKo,3.6678500699999996
"Crypt Console",3.8134568499999992
NotNevada,3.8245572699999997
LockBit,3.9873380000000003
Xorist,4.19521649
CryptoTorLocker2015,4.528672280000001
NotPetya,6.1000111499999985
NoobCrypt,6.238763500000001
LamdaLocker,6.66923168
VenusLocker,6.8014652
XTPLocker,7
SunCrypt,7.44842773
Qlocker,9.199571689999877
Tejodes,10.781860349999999
XLocker5.0,12
APT,12.55632626
SynAck,13.894936719999999
TripleM,18.88336713
Globe,27.202863060000002
WannaCry,28.03143071999999
Sam,29
HelloKitty,32.35294118
DarkAngels,38.14012345
Globev3,40.246348989999994
CryptXXX,64.85853000000006
Maui,72.74892600000003
Bitpaymer,90.00037117
"Black Matter",96.38631199999999
CryptoLocker,100.8608
Karakurt,116.69452884000002
GlobeImposter,118.33255994999999
Spora,146.37742021
DarkSide,158.70856738
Egregor,197.95539217
MedusaLocker,199.8240117100001
MountLocker,298.5
REvil,327.41854732
Conti,378.2567625299999
SamSam,501.20423815999993
RagnarLocker,528.37065759
Ryuk,1119.11468036
DMALockerv3,1130.6140122
Cuba,2018.0391585900002
Netwalker,2486.357868639997
Locky,17300.895928950078
